id,x-ini,y-ini,x-goal,y-goal,x-end,y-end,L0-path,L1-path,td,tsh,zt,C
(adult 847),107,-35,135,-31,135,-31,32,32,43,45.5,-99,0
(adult 780),121,-177,135,-31,135,-31,157,157,34,45.5,-99,0
(adult 1502),102,-100,135,-31,135,-31,91,91,39,45.6,-99,0
(adult 2013),66,-149,135,-31,135,-31,144,144,35,45.6,-99,0
(adult 1000),149,-134,152,-31,152,-31,143,143,35,45.6,-99,0
(adult 2438),40,-190,135,-31,135,-31,182,182,32,45.7,-99,0
(adult 1806),130,-118,135,-31,135,-31,102,102,38,45.7,-99,0
(adult 2377),62,-176,135,-31,135,-31,152,152,34,45.7,-99,0
(adult 2008),102,-102,135,-31,135,-31,93,93,39,45.7,-99,0
(adult 2475),121,-105,135,-31,135,-31,78,78,40,45.7,-99,0
(adult 1632),192,-121,152,-31,152,-31,99,99,38,45.7,-99,0
(adult 1856),102,-198,135,-31,135,-31,173,173,33,45.7,-99,0
(adult 35),26,-180,135,-31,135,-31,185,185,32,45.8,-99,0
(adult 1512),192,-117,152,-31,152,-31,99,99,38,45.8,-99,0
(adult 131),63,-140,135,-31,135,-31,146,146,35,45.8,-99,0
(adult 2220),60,-137,135,-31,135,-31,147,147,35,45.8,-99,0
(adult 2427),158,-71,152,-31,152,-31,50,50,42,45.9,-99,0
(adult 212),177,-128,152,-31,152,-31,97,97,38,45.9,-99,0
(adult 2462),138,-81,135,-31,135,-31,53,53,42,45.9,-99,0
(adult 2064),165,-118,152,-31,152,-31,123,123,37,46,-99,0
(adult 543),199,-76,152,-31,152,-31,76,76,40,46.1,-99,0
(adult 328),156,-172,152,-31,152,-31,167,167,33,46.1,-99,0
(adult 2454),234,-80,152,-31,152,-31,118,118,37,46.1,-99,0
(adult 934),141,-107,135,-31,135,-31,108,108,38,46.1,-99,0
(adult 1344),104,-83,135,-31,135,-31,70,70,41,46.1,-99,0
(adult 1302),186,-152,152,-31,152,-31,143,143,35,46.1,-99,0
(adult 1969),140,-83,135,-31,135,-31,55,55,42,46.1,-99,0
(adult 297),136,-90,135,-31,135,-31,94,94,39,46.2,-99,0
(adult 58),106,-103,135,-31,135,-31,80,80,40,46.2,-99,0
(adult 1336),83,-137,135,-31,135,-31,127,127,37,46.3,-99,0
(adult 2570),35,-161,135,-31,135,-31,166,166,34,46.3,-99,0
(adult 162),142,-58,135,-31,135,-31,31,31,44,46.3,-99,0
(adult 1643),156,-45,152,-31,152,-31,17,17,45,46.3,-99,0
(adult 741),123,-60,135,-31,135,-31,47,47,43,46.3,-99,0
(adult 293),218,-86,152,-31,152,-31,93,93,39,46.3,-99,0
(adult 1373),129,-149,135,-31,135,-31,126,126,37,46.4,-99,0
(adult 1267),98,-85,135,-31,135,-31,73,73,41,46.4,-99,0
(adult 2627),144,-84,152,-31,152,-31,59,59,42,46.5,-99,0
(adult 939),131,-98,135,-31,135,-31,77,77,41,46.6,-99,0
(adult 1047),56,-123,135,-31,135,-31,128,128,37,46.6,-99,0
(adult 1332),67,-97,135,-31,135,-31,104,104,39,46.7,-99,0
(adult 1190),29,-189,135,-31,135,-31,198,198,32,46.7,-99,0
(adult 577),178,-153,152,-31,152,-31,174,174,34,46.8,-99,0
(adult 318),114,-212,135,-31,135,-31,216,216,31,46.8,-99,0
(adult 822),250,-64,152,-31,152,-31,140,140,36,46.8,-99,0
(adult 2001),216,-78,152,-31,152,-31,101,101,39,46.9,-99,0
(adult 1232),68,-127,135,-31,135,-31,135,135,37,46.9,-99,0
(adult 2698),110,-33,135,-31,135,-31,27,27,45,46.9,-99,0
(adult 1964),201,-108,152,-31,152,-31,88,88,40,46.9,-99,0
(adult 1624),204,-130,152,-31,152,-31,113,113,38,46.9,-99,0
(adult 2180),99,-45,135,-31,135,-31,38,38,44,47,-99,0
(adult 1742),154,-134,152,-31,152,-31,135,135,37,47,-99,0
(adult 1377),31,-180,135,-31,135,-31,189,189,33,47.1,-99,0
(adult 2242),144,-68,152,-31,152,-31,37,37,44,47.1,-99,0
(adult 2689),210,-17,152,-31,152,-31,194,194,34,47.1,-99,0
(adult 2554),132,-105,135,-31,135,-31,95,95,40,47.2,-99,0
(adult 581),156,-126,152,-31,152,-31,124,124,38,47.2,-99,0
(adult 990),213,-79,152,-31,152,-31,92,92,40,47.2,-99,0
(adult 36),157,-85,152,-31,152,-31,72,72,42,47.2,-99,0
(adult 2375),95,-205,135,-31,135,-31,177,177,34,47.3,-99,0
(adult 115),126,-98,135,-31,135,-31,72,72,42,47.3,-99,0
(adult 667),186,-65,152,-31,152,-31,55,55,43,47.3,-99,0
(adult 2192),95,-69,135,-31,135,-31,57,57,43,47.3,-99,0
(adult 1919),151,-96,152,-31,152,-31,84,84,41,47.3,-99,0
(adult 1138),126,-76,135,-31,135,-31,59,59,43,47.3,-99,0
(adult 2514),52,-175,135,-31,135,-31,166,166,35,47.4,-99,0
(adult 2188),96,-73,135,-31,135,-31,60,60,43,47.5,-99,0
(adult 158),222,-64,152,-31,152,-31,110,110,39,47.5,-99,0
(adult 986),74,-24,135,-31,135,-31,62,62,43,47.5,-99,0
(adult 2585),219,-90,152,-31,152,-31,96,96,40,47.5,-99,0
(adult 2076),34,-169,135,-31,135,-31,180,180,34,47.6,-99,0
(adult 1317),20,-192,135,-31,135,-31,208,208,32,47.6,-99,0
(adult 2411),82,-82,135,-31,135,-31,75,75,42,47.6,-99,0
(adult 1256),116,-130,135,-31,135,-31,103,103,40,47.6,-99,0
(adult 856),32,-187,135,-31,135,-31,196,196,33,47.6,-99,0
(adult 954),94,-72,135,-31,135,-31,61,61,43,47.7,-99,0
(adult 551),75,-125,135,-31,135,-31,132,132,38,47.7,-99,0
(adult 1586),21,-192,135,-31,135,-31,208,208,32,47.7,-99,0
(adult 2568),155,-49,152,-31,152,-31,22,22,46,47.7,-99,0
(adult 2648),134,-155,135,-31,135,-31,133,133,38,47.7,-99,0
(adult 1210),99,-112,135,-31,135,-31,106,106,40,47.8,-99,0
(adult 2655),47,-180,135,-31,135,-31,172,172,35,47.9,-99,0
(adult 2032),105,-90,135,-31,135,-31,81,81,42,47.9,-99,0
(adult 2436),81,-124,135,-31,135,-31,122,122,39,47.9,-99,0
(adult 1345),82,-130,135,-31,135,-31,122,122,39,48,-99,0
(adult 912),23,-206,135,-31,135,-31,210,210,32,48,-99,0
(adult 2393),210,-78,152,-31,152,-31,90,90,41,48,-99,0
(adult 2119),111,-68,135,-31,135,-31,55,55,44,48.1,-99,0
(adult 255),101,-190,135,-31,135,-31,163,163,36,48.1,-99,0
(adult 2067),40,-199,135,-31,135,-31,189,189,34,48.1,-99,0
(adult 1117),165,-48,152,-31,152,-31,40,40,45,48.2,-99,0
(adult 928),242,-97,152,-31,152,-31,129,129,38,48.2,-99,0
(adult 1851),107,-100,135,-31,135,-31,79,79,42,48.2,-99,0
(adult 1061),179,-131,152,-31,152,-31,114,114,39,48.2,-99,0
(adult 1350),238,-52,152,-31,152,-31,135,135,38,48.2,-99,0
(adult 435),208,-131,152,-31,152,-31,120,120,39,48.3,-99,0
(adult 2517),32,-193,135,-31,135,-31,192,192,34,48.3,-99,0
(adult 1074),173,-53,152,-31,152,-31,39,39,45,48.3,-99,0
(adult 574),154,-46,152,-31,152,-31,18,18,47,48.3,-99,0
(adult 1136),179,-30,152,-31,152,-31,30,30,46,48.4,-99,0
(adult 1001),204,-101,152,-31,152,-31,79,79,42,48.4,-99,0
(adult 1195),222,-64,152,-31,152,-31,110,110,40,48.5,-99,0
(adult 1639),176,-158,152,-31,152,-31,170,170,36,48.5,-99,0
(adult 2643),66,-150,135,-31,135,-31,144,144,38,48.6,-99,0
(adult 1402),211,-121,152,-31,152,-31,110,110,40,48.6,-99,0
(adult 2541),148,-142,152,-31,152,-31,143,143,38,48.7,-99,0
(adult 1838),39,-152,135,-31,135,-31,158,158,37,48.7,-99,0
(adult 2025),98,-210,135,-31,135,-31,179,179,35,48.7,-99,0
(adult 877),144,-123,152,-31,152,-31,119,119,40,48.8,-99,0
(adult 195),111,-100,135,-31,135,-31,76,76,43,48.8,-99,0
(adult 1430),166,-114,152,-31,152,-31,120,120,40,48.8,-99,0
(adult 403),190,-19,152,-31,152,-31,158,158,38,48.9,-99,0
(adult 1768),153,-55,152,-31,152,-31,26,26,47,49,-99,0
(adult 1325),124,-95,135,-31,135,-31,68,68,44,49.1,-99,0
(adult 1135),58,-129,135,-31,135,-31,122,122,40,49.1,-99,0
(adult 2683),143,-39,135,-31,135,-31,15,15,48,49.1,-99,0
(adult 1635),58,-178,135,-31,135,-31,154,154,37,49.1,-99,0
(adult 1604),103,-68,135,-31,135,-31,56,56,45,49.1,-99,0
(adult 1228),51,-161,135,-31,135,-31,163,163,37,49.1,-99,0
(adult 740),91,-206,135,-31,135,-31,179,179,36,49.2,-99,0
(adult 101),116,-63,135,-31,135,-31,45,45,46,49.3,-99,0
(adult 1391),115,-66,135,-31,135,-31,46,46,46,49.3,-99,0
(adult 624),152,-44,152,-31,152,-31,17,17,48,49.3,-99,0
(adult 1307),101,-206,135,-31,135,-31,176,176,36,49.3,-99,0
(adult 1099),136,-26,135,-31,135,-31,2,2,49,49.4,-99,0
(adult 835),155,-114,152,-31,152,-31,113,113,41,49.4,-99,0
(adult 407),104,-107,135,-31,135,-31,83,83,43,49.4,-99,0
(adult 562),228,-50,152,-31,152,-31,124,124,40,49.5,-99,0
(adult 495),198,-106,152,-31,152,-31,82,82,43,49.5,-99,0
(adult 1583),155,-66,152,-31,152,-31,47,47,46,49.5,-99,0
(adult 2703),141,-24,135,-31,135,-31,77,77,44,49.5,-99,0
(adult 219),222,-63,152,-31,152,-31,111,111,41,49.5,-99,0
(adult 1765),57,-163,135,-31,135,-31,157,157,38,49.6,-99,0
(adult 533),226,-102,152,-31,152,-31,112,112,41,49.6,-99,0
(adult 1233),204,-137,152,-31,152,-31,125,125,40,49.6,-99,0
(adult 395),69,-137,135,-31,135,-31,147,147,39,49.8,-99,0
(adult 828),192,-61,152,-31,152,-31,60,60,45,49.8,-99,0
(adult 762),165,-53,152,-31,152,-31,36,36,47,49.8,-99,0
(adult 834),65,-152,135,-31,135,-31,145,145,39,49.8,-99,0
(adult 1422),141,-100,135,-31,135,-31,94,94,43,49.9,-99,0
(adult 250),77,-100,135,-31,135,-31,93,93,43,49.9,-99,0
(adult 1622),54,-158,135,-31,135,-31,160,160,38,49.9,-99,0
(adult 294),216,-58,152,-31,152,-31,115,115,41,50,-99,0
(adult 1625),93,-120,135,-31,135,-31,110,110,42,50,-99,0
(adult 2458),233,-73,152,-31,152,-31,118,118,41,50,-99,0
(adult 915),198,-137,152,-31,152,-31,131,131,40,50,-99,0
(adult 2265),30,-212,135,-31,135,-31,200,200,35,50.1,-99,0
(adult 1108),110,-177,135,-31,135,-31,149,149,39,50.1,-99,0
(adult 325),117,-62,135,-31,135,-31,43,43,47,50.1,-99,0
(adult 448),185,-151,152,-31,152,-31,143,143,39,50.1,-99,0
